sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","scan_count",status,"total_run_time","savedsearch_name","api_et","api_lt","search_et","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_savedsearch_name","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt"
"rt_1475659538.14","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475659538.077720",1,0,1475659538,0,0,canceled,"71.108000",,,,,,,,,,,,,,,,,,,,,
"rt_1475659932.2","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475659932.705914",1,0,1475659932,0,0,canceled,"9.055000",,,,,,,,,,,,,,,,,,,,,
"1475659941.4","search index=""passedweather""",testingserver,"1475659941.266463",0,183,1475659941,183,183,completed,"0.371000",,,,,,,,,,,,,,,,,,,,,
"1475659952.6","search index=""passedweather"" | sort +Date",testingserver,"1475659952.593501",0,183,1475659952,183,183,completed,"0.293000",,,,,,,,,,,,,,,,,,,,,
"rt_1475660001.7","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475660001.849407",1,0,1475660001,0,0,canceled,"15.053000",,,,,,,,,,,,,,,,,,,,,
"1475660016.8","search index=""passedweather"" | sort +Date",testingserver,"1475660016.919808",0,183,1475660017,183,183,completed,"0.275000",,,,,,,,,,,,,,,,,,,,,
"admin__admin__passedweatherApp__search1_1475660056.9","search index=""passedweather"" | sort +Date",testingserver,"1475660056.074277",0,183,1475660056,183,183,completed,"0.113000",search1,,,,,,,,,,,,,,,,,,,,
"rt_1475660107.10","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475660107.683381",1,0,1475660107,0,0,canceled,"16.053000",,,,,,,,,,,,,,,,,,,,,
"1475660123.11","search index=""passedweather"" | sort +_time",testingserver,"1475660123.192951",0,183,1475660123,183,183,completed,"0.287000",,,,,,,,,,,,,,,,,,,,,
"1475660272.12","search index=""passedweather"" | sort +_time | timechart sum(TempAvg) as avg, sum(TempMax) as max, sum(TempMin) as min",testingserver,"1475660272.823514",0,183,1475660272,61,183,completed,"0.189000",,,,,,,,,,,,,,,,,,,,,
"1475660278.13","search index=""passedweather"" | sort +_time | timechart sum(TempAvg) as avg, sum(TempMax) as max, sum(TempMin) as min by area",testingserver,"1475660278.657630",0,183,1475660278,61,183,completed,"0.210000",,,,,,,,,,,,,,,,,,,,,
"1475660283.14","search index=""passedweather"" | sort +_time | timechart sum(TempAvg) as avg, sum(TempMax) as max, sum(TempMin) as min by Area",testingserver,"1475660283.974081",0,183,1475660284,61,183,completed,"0.251000",,,,,,,,,,,,,,,,,,,,,
"admin__admin__passedweatherApp__search1_1475660314.15","search index=""passedweather"" | sort +Date",testingserver,"1475660314.793460",0,183,1475660314,183,183,completed,"0.119000",search1,,,,,,,,,,,,,,,,,,,,
"admin__admin__passedweatherApp__search2_1475660314.16","search index=""passedweather"" | sort +_time | timechart sum(TempAvg) as avg, sum(TempMax) as max, sum(TempMin) as min by Area",testingserver,"1475660314.803479",0,183,1475660314,61,183,completed,"0.123000",search2,,,,,,,,,,,,,,,,,,,,
"admin__admin__passedweatherApp__search2_1475660796.31","search index=""passedweather"" | sort +_time | timechart sum(TempAvg) as avg, sum(TempMax) as max, sum(TempMin) as min by Area",testingserver,"1475660796.888592",0,183,1475660796,61,183,completed,"0.172000",search2,,,,,,,,,,,,,,,,,,,,
"admin__admin__passedweatherApp__search2_1475660828.32","search index=""passedweather"" | sort +_time | timechart sum(TempAvg) as avg, sum(TempMax) as max, sum(TempMin) as min by Area",testingserver,"1475660828.889727",0,51,1475660828,17,51,completed,"0.144000",search2,"1464706800.000000000","1466175600.000000000","1464706800.000000000","1466175600.000000000",,,,,,,,,,,,,,,,
"admin__admin__passedweatherApp__search1_1475660828.33","search index=""passedweather"" | sort +Date",testingserver,"1475660828.904499",0,51,1475660829,51,51,completed,"0.139000",search1,"1464706800.000000000","1466175600.000000000","1464706800.000000000","1466175600.000000000",,,,,,,,,,,,,,,,
"rt_1475660908.34","| metadata type=sourcetypes | search totalCount > 0",testingserver,"1475660908.437804",1,0,1475660908,0,0,canceled,"34.060000",,,,,,,,,,,,,,,,,,,,,
